model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.0903,0.1819,0.0679,0.021,[251  368  334]/669
model_v25,0.0367,0.0743,0.0216,0.0142,[249  371  351]/669
model_v27,0.1877,0.3347,0.0543,0.174,[251  368  339]/669
model_v27_fine_tuned,0.2091,0.3829,0.0753,0.1692,[252  372  334]/669
model_v28,0.2689,0.472,0.136,0.1988,[250  364  332]/669
model_v29,0.3923,0.6429,0.2447,0.2892,[252  380  325]/669
model_v30,0.3633,0.6041,0.2192,0.2666,[253  381  317]/669
model_v31,0.2626,0.504,0.122,0.1619,[251  369  315]/669
model_v32,0.3426,0.6045,0.1854,0.238,[252  383  332]/669
model_v33,0.3631,0.6784,0.1762,0.2347,[256  369  326]/669
model_v34,0.3585,0.6416,0.1984,0.2354,[253  383  325]/669
model_v35,0.2726,0.4701,0.1938,0.154,[251  387  315]/669
model_v36,0.4438,0.6924,0.3043,0.3349,[253  407  327]/669
model_v37,0.3808,0.5205,0.3203,0.3016,[252  409  320]/669
model_v38,0.4646,0.7493,0.3557,0.2888,[256  395  318]/669
model_v39,0.4475,0.6647,0.4005,0.2774,[257  422  310]/669
model_v40,0.2657,0.5631,0.1444,0.0896,[251  367  335]/669
model_v41,0.4019,0.666,0.2708,0.2689,[251  380  318]/669
model_v42,0.4707,0.7126,0.3701,0.3294,[254  408  340]/669
